ENERGY	total-DOS	32:total	32:s	32:p	32:PX	32:PY	32:PZ	32:d	32:DZ2	32:DX2Y2	32:DXY	32:DXZ	32:DYZ	32:f	1:total	1:s	1:p	1:PX	1:PY	1:PZ	1:d	1:DZ2	1:DX2Y2	1:DXY	1:DXZ	1:DYZ	1:f
  -1.45717	 -11.11056042	  -0.13415624	  -0.02651919	  -0.09644824	  -0.03543577	  -0.03053019	  -0.03046419	  -0.01008003	  -0.00334869	  -0.00246561	  -0.00201562	  -0.00206680	  -0.00014502	  -0.00106359	  -0.22199073	  -0.00819565	  -0.02428299	  -0.00201556	  -0.00140159	  -0.00140713	  -0.12803057	  -0.02603363	  -0.02951725	  -0.02332621	  -0.02193998	  -0.02719831	  -0.06140344
  -1.42996	  -9.40559196	  -0.10746965	  -0.01756589	  -0.08141304	  -0.02891338	  -0.02628890	  -0.02618914	  -0.00754474	  -0.00265942	  -0.00186852	  -0.00138767	  -0.00144939	  -0.00015307	  -0.00089945	  -0.18402672	  -0.00666962	  -0.02466809	  -0.00202027	  -0.00143995	  -0.00147050	  -0.10741650	  -0.02416718	  -0.03064649	  -0.01519972	  -0.01434514	  -0.02303883	  -0.04521275
  -1.40275	  -8.00803947	  -0.08295698	  -0.01243309	  -0.06362927	  -0.02016599	  -0.02175028	  -0.02168860	  -0.00612765	  -0.00222112	  -0.00144702	  -0.00110492	  -0.00117656	  -0.00016207	  -0.00071621	  -0.15500121	  -0.00510603	  -0.02428619	  -0.00195274	  -0.00142203	  -0.00147589	  -0.09325331	  -0.02299150	  -0.03103852	  -0.01069058	  -0.01025151	  -0.01825812	  -0.03230853
  -1.37554	  -6.85581875	  -0.06151390	  -0.00839271	  -0.04731007	  -0.01240043	  -0.01745724	  -0.01742818	  -0.00519919	  -0.00184272	  -0.00109617	  -0.00101712	  -0.00107205	  -0.00016418	  -0.00055920	  -0.13532791	  -0.00367151	  -0.02389164	  -0.00178131	  -0.00142267	  -0.00147359	  -0.08568428	  -0.02189541	  -0.03023697	  -0.00793441	  -0.00775858	  -0.01783562	  -0.02204529
  -1.34832	  -6.86645174	  -0.04500728	  -0.00539872	  -0.03371491	  -0.00775357	  -0.01298725	  -0.01295186	  -0.00533760	  -0.00156618	  -0.00083538	  -0.00141638	  -0.00137435	  -0.00014051	  -0.00049952	  -0.15075344	  -0.00255125	  -0.02695064	  -0.00152218	  -0.00169829	  -0.00168035	  -0.10601954	  -0.02354355	  -0.03049091	  -0.00911823	  -0.00911353	  -0.03373676	  -0.01520842
  -1.32111	  -9.42800903	  -0.04122562	  -0.00480135	  -0.02818637	  -0.00700839	  -0.01063370	  -0.01052377	  -0.00747315	  -0.00184609	  -0.00084458	  -0.00241178	  -0.00226025	  -0.00009967	  -0.00069456	  -0.22516447	  -0.00191585	  -0.03796865	  -0.00160867	  -0.00252925	  -0.00241153	  -0.17217669	  -0.03201762	  -0.03337090	  -0.02097926	  -0.02132650	  -0.06447668	  -0.01308159
  -1.29390	 -13.76340294	  -0.05904216	  -0.00587864	  -0.03973351	  -0.00924264	  -0.01531435	  -0.01515896	  -0.01223719	  -0.00340483	  -0.00138575	  -0.00372577	  -0.00360526	  -0.00009756	  -0.00110106	  -0.30976167	  -0.00168705	  -0.05321559	  -0.00245322	  -0.00362637	  -0.00349012	  -0.24051750	  -0.04244816	  -0.03589308	  -0.04122168	  -0.04188293	  -0.07906860	  -0.01429681
  -1.26669	 -16.23036957	  -0.08077509	  -0.00581697	  -0.05617155	  -0.01050739	  -0.02286473	  -0.02278556	  -0.01740692	  -0.00535833	  -0.00208363	  -0.00492967	  -0.00488582	  -0.00012369	  -0.00127152	  -0.31816110	  -0.00151379	  -0.05843312	  -0.00314638	  -0.00405614	  -0.00396104	  -0.24295869	  -0.04440321	  -0.03725904	  -0.04911521	  -0.04940930	  -0.06276447	  -0.01517090
  -1.23948	 -15.42556763	  -0.08531638	  -0.00514883	  -0.06028183	  -0.01092565	  -0.02468390	  -0.02466087	  -0.01859757	  -0.00601790	  -0.00233167	  -0.00504348	  -0.00502841	  -0.00014146	  -0.00117834	  -0.25911662	  -0.00154191	  -0.04672538	  -0.00276374	  -0.00328028	  -0.00323066	  -0.19561735	  -0.04057976	  -0.03938108	  -0.03918571	  -0.03904415	  -0.03741753	  -0.01512078
  -1.21227	 -13.71723557	  -0.08322577	  -0.00638373	  -0.05763353	  -0.01277859	  -0.02243169	  -0.02241271	  -0.01801166	  -0.00633056	  -0.00247371	  -0.00449327	  -0.00448546	  -0.00018826	  -0.00109370	  -0.21185349	  -0.00206074	  -0.02944342	  -0.00183970	  -0.00200761	  -0.00200022	  -0.16491346	  -0.04050057	  -0.04360271	  -0.02865886	  -0.02843766	  -0.02369975	  -0.01532149
